"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"«Ahora tenemos ratones de 4 meses no diabéticos que antes eran diabéticos», añadió."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."	"El Dr. Ehud Ur, catedrático de medicina de la Universidad Dalhousie de Halifax (Nueva Escocia) y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún está en sus inicios."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."	"Al igual que otros expertos, se muestra escéptico sobre la posibilidad de curar la diabetes, y señala que estos hallazgos no son relevantes para las personas que ya padecen diabetes de tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."	"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en la emisora sueca Sveriges Radio que el comité, incapaz de contactar directamente con Bob Dylan para hablar sobre la concesión del Premio Nobel de Literatura 2016, había abandonado sus esfuerzos por contactar con él."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""	"Danius dijo: ""Ahora mismo no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amistosas. Por ahora, eso es sin duda suficiente""."
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."	"Anteriormente, el consejero delegado de Ring, Jamie Siminoff, comentó que la empresa empezó cuando el timbre de su puerta no se oía desde el taller de su garaje."
"He built a WiFi door bell, he said."	"Construyó un timbre WiFi, dijo."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup."	"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del programa declinó financiar la startup."
"In late 2017, Siminoff appeared on shopping television channel QVC."	"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC."
"Ring also settled a lawsuit with competing security company, the ADT Corporation."	"Ring también resolvió un litigio con la empresa de seguridad competidora, ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection."	"Aunque una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora no se ha demostrado claramente que ningún fármaco sea adecuado para tratar la infección existente."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death."	"Un cóctel de anticuerpos, ZMapp, se mostró inicialmente prometedor sobre el terreno, pero los estudios formales indicaron que tenía menos beneficios de los buscados en la prevención de la muerte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it."	"En el ensayo PALM, el ZMapp sirvió de control, lo que significa que los científicos lo utilizaron como referencia y compararon con él los otros tres tratamientos."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes."	"USA Gymnastics apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un entorno seguro para todos nuestros atletas."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification."	"Estamos de acuerdo con la declaración del USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor servidos avanzando con un cambio significativo dentro de nuestra organización, en lugar de la descertificación."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que pueda arrojar luz sobre cómo el abuso de la proporción descrita tan valientemente por los sobrevivientes de Larry Nassar podría haber pasado desapercibido durante tanto tiempo y abraza cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y el USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sean lo más seguros posible para que los atletas puedan seguir sus sueños en un entorno seguro, positivo y empoderado."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y después para la administración de Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las elecciones de 1976 asesoró a Carter en política exterior, y luego fue Consejero de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter en la gestión diplomática de asuntos mundiales, como los Acuerdos de Camp David, 1978; la normalización de las relaciones entre Estados Unidos y China a finales de la década de 1970; la Revolución iraní, que desembocó en la crisis de los rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone fueron nominados a mejor actor y actriz, respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"El resto de nominaciones incluyen Mejor Película, Director, Cinematografía, Diseño de Vestuario, Montaje, Música Original, Diseño de Producción, Montaje de Sonido, Mezcla de Sonido y Guión Original."
