"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos"", agregó."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."	"El Dr. Ehud Ur, profesor de medicina en la Universidad de Dalhousie en Halifax, Nova Scotia y presidente de la División Clínica y Científica de la Asociación Canadiense de Diabetes advirtió que la investigación aún está en sus primeros días."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."	"Como otros expertos, es escéptico acerca de si la diabetes puede curarse, y señala que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."	"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia El comité, incapaz de comunicarse directamente con Bob Dylan sobre la victoria del Premio Nobel de Literatura 2016, había abandonado sus esfuerzos para llegar a él."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""	"Danius dijo: ""En este momento no estamos haciendo nada. Llamé y envié correos electrónicos a su colaborador más cercano y recibí respuestas muy amistosas. Por ahora, eso es ciertamente suficiente""."
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."	"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no se audible en su tienda en su garaje."
"He built a WiFi door bell, he said."	"Construyó un timbre de puerta WiFi, dijo."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup."	"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del programa declinó financiar la startup."
"In late 2017, Siminoff appeared on shopping television channel QVC."	"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC."
"Ring also settled a lawsuit with competing security company, the ADT Corporation."	"Ring también resolvió una demanda con la empresa de seguridad competidora, la ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection."	"Si bien una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora, no se han demostrado claramente ningún fármaco adecuado para tratar la infección existente."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death."	"Un cóctel de anticuerpos, Zmapp, se mostró inicialmente prometedor en el campo, pero los estudios formales indicaron que tenía menos beneficio que el buscado para prevenir la muerte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it."	"En el ensayo PALM, ZMAPP sirvió como control, lo que significa que los científicos lo usaron como línea de base y compararon los otros tres tratamientos con él."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes."	"USA Gymnastics apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un ambiente seguro para todos nuestros atletas."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification."	"Estamos de acuerdo con la declaración de la USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden servir mejor si avanzan con cambios significativos dentro de nuestra organización, en lugar de descertificar."
"USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes."	"USA Gymnastics apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita con tanto valiente por los sobrevivientes de Larry Nassar podría haber pasado tanto tiempo y adoptar cualquier cambio necesario y apropiado."
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment."	"USA Gymnastics y USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia y otros sean lo más seguros posible para que los atletas sigan sus sueños en un entorno seguro, positivo y empoderado."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration."	"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego para la administración Lyndon B. Johnson."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger."	"Durante las selecciones de 1976, asesoró a Carter sobre política exterior, luego se desempeñó como asesor de seguridad nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979."	"Como NSA, ayudó a Carter en el manejo diplomático de los asuntos mundiales, como los Acuerdos de Camp David, 1978; normalizando las relaciones entre Estados Unidos y China, se pensó a finales de la década de 1970; la revolución iraní, que condujo a la crisis de rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories."	"La película, con Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales."
"Gosling and Stone received nominations for Best Actor and Actress respectively."	"Gosling y Stone recibieron nominaciones como Mejor Actor y Actriz respectivamente."
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay."	"Las otras nominaciones incluyen Mejor Película, Director, Cinematografía, Diseño de Vestuario, Edición de Cine, Partitura Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio."	"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones a la mejor canción original. Lionsgate Studio recibió 26 nominaciones, más que cualquier otro estudio."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria."	"El domingo por la noche, el presidente de los Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses se irían de Siria."
"The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan."	"El anuncio se hizo después de que Trump tuvo una conversación telefónica con el presidente turco, Recep Tayyip Erdogan."
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate."	"Turquía también se haría cargo de la vigilancia de los combatientes capturados de ISIS que, según el comunicado, las naciones europeas se han negado a repatriar."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement."	"Esto no solo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya generalizada, sino que proporciona detalles que generalmente no pueden, como el color y la disposición tridimensional."
". Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside."	". Los científicos dicen que el plumaje de este animal era marrón castaño en la parte superior con una parte inferior pálida o color carotenoide."
"The find also grants insight into the evolution of feathers in birds."	"El hallazgo también otorga información sobre la evolución de las plumas en las aves."
