"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added."	"""Ahora tenemos ratones de 4 meses que no son diabéticos y que antes eran diabéticos"", añadió."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."	"El Dr. Ehud Ur, profesor de medicina en la Universidad de Dalhousie en Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus inicios."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."	"Al igual que otros expertos, se muestra escéptico sobre si la diabetes se puede curar y señala que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."	"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, al no poder comunicarse directamente con Bob Dylan para ganar el Premio Nobel de Literatura 2016, había abandonado sus esfuerzos por llegar a él."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""	"Danius dijo: ""En este momento no estamos haciendo nada. Llamé y envié correos electrónicos a su colaborador más cercano y recibí respuestas muy amistosas. Por ahora, eso es suficiente"""
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."	"Anteriormente, el director ejecutivo de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando su timbre no se oía en su tienda en su garaje."
"He built a WiFi door bell, he said."	"Construyó un timbre de puerta WiFi, dijo."
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup."	"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank donde el panel del programa se negó a financiar la startup."
"In late 2017, Siminoff appeared on shopping television channel QVC."	"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC."
"Ring also settled a lawsuit with competing security company, the ADT Corporation."	"Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation."
"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection."	"Si bien una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora no se ha demostrado claramente que ningún fármaco sea adecuado para tratar la infección existente."
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death."	"Un cóctel de anticuerpos, ZMapp, inicialmente se mostró prometedor en el campo, pero estudios formales indicaron que tenía menos beneficios de los buscados para prevenir la muerte."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it."	"En el ensayo PALM, ZMapp sirvió como control, lo que significa que los científicos lo utilizaron como base y compararon los otros tres tratamientos con él."
"USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes."	"USA Gymnastics apoya la carta del Comité Olímpico de Estados Unidos y acepta la absoluta necesidad de la familia olímpica de promover un ambiente seguro para todos nuestros atletas."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification."	"Estamos de acuerdo con la afirmación del USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden servirse mejor si avanzamos con cambios significativos dentro de nuestra organización, en lugar de descertificación."
